,site_number,address
89,0208521324,"LITTLE RIVER AT SR1461 NEAR ORANGE FACTORY, NC"
90,0208524090,"MOUNTAIN CREEK AT SR1617 NR BAHAMA, NC"
91,0208524975,"LITTLE R BL LITTLE R TRIB AT FAIRNTOSH, NC"
92,02085500,"FLAT RIVER AT BAHAMA, NC"
93,02086000,"DIAL CREEK NEAR BAHAMA, NC"
94,02086500,"FLAT RIVER AT DAM NEAR BAHAMA, NC"
95,0208650112,"FLAT RIVER TRIB NR WILLARDVILLE, NC"
96,02086624,"KNAP OF REEDS CREEK NEAR BUTNER, NC"
97,0208675010,"ELLERBE CREEK AT CLUB BOULEVARD AT DURHAM, NC"
98,02086849,"ELLERBE CREEK NEAR GORMAN, NC"
99,0208700550,"LITTLE LICK CREEK AT NC HWY 98 AT OAK GROVE, NC"
100,0208700780,"LITTLE LICK CR AB SR1814 NR OAK GROVE, NC"
101,0208706575,"BEAVERDAM CREEK AT DAM NEAR CREEDMOOR, NC"
102,02087182,"FALLS LAKE ABOVE DAM NR FALLS, NC"
103,0208718210,"NEUSE RIVER AT FALLS, NC"
104,02087183,"NEUSE RIVER NEAR FALLS, NC"
105,0208721055,"PERRY CREEK AT SR2012 NEAR MILLBROOK, NC"
106,0208725600,"SYCAMORE CREEK NEAR LYNN CROSSROADS, NC"
107,0208726005,"CRABTREE CR AT EBENEZER CHURCH RD NR RALEIGH, NC"
108,0208726100,"RICHLANDS CREEK NEAR WESTOVER, NC"
109,0208726835,"HARE SNIPE TRIB NEAR LEESVILLE, NC"
110,0208726990,"HARE SNIPE CREEK BELOW LAKE LYNN AT RALEIGH, NC"
111,02087275,"CRABTREE CREEK AT HWY 70 AT RALEIGH, NC"
112,0208730025,"BIG BRANCH TRIB AT WINGATE DR AT RALEIGH, NC"
113,0208731190,"CRABTREE CREEK AT ANDERSON DRIVE AT RALEIGH, NC"
114,02087322,"CRABTREE CR AT OLD WAKE FOREST RD AT RALEIGH, NC"
115,02087324,"CRABTREE CREEK AT US 1 AT RALEIGH, NC"
116,0208732534,"PIGEON HOUSE CR AT CAMERON VILLAGE AT RALEIGH, NC"
117,0208732810,"MARSH CREEK AT SR2030 AT MILLBROOK, NC"
118,0208732885,"MARSH CREEK NEAR NEW HOPE, NC"
119,02087337,"WALNUT CREEK AT BUCK JONES ROAD AT RALEIGH, NC"
120,02087339,"LAKE JOHNSON ABOVE DAM AT RALEIGH, NC"
121,0208734210,"WALNUT CREEK AT TRAILWOOD DRIVE AT RALEIGH, NC"
122,0208734220,"BUSHY BRANCH TRIB ON SCHAUB DR AT RALEIGH, NC"
123,0208734795,"WALNUT CREEK AT SOUTH WILMINGTON ST AT RALEIGH, NC"
124,0208735012,"ROCKY BRANCH BELOW PULLEN DRIVE AT RALEIGH, NC"
125,0208735460,"WALNUT CREEK AT SOUTH STATE STREET AT RALEIGH, NC"
126,0208735550,"WALNUT CREEK TRIB AT EVERS STREET IN RALEIGH, NC"
127,02087359,"WALNUT CREEK AT SUNNYBROOK DRIVE NR RALEIGH, NC"
128,0208739674,"NEUSE R TRIB AT NRWWTP (CMP SITE) NR AUBURN, NC"
129,0208739678,"NEUSE R TRIB AT NRWWTP (CENTRAL STE) NR AUBURN, NC"
130,0208741400,"NEUSE R TRIB AT NRWWTP (EASTERN STE) NR AUBURN, NC"
131,02087500,"NEUSE RIVER NEAR CLAYTON, NC"
132,02087570,"NEUSE RIVER AT SMITHFIELD, NC"
133,02087580,"SWIFT CREEK NEAR APEX, NC"
134,0208758850,"SWIFT CREEK NEAR MCCULLARS CROSSROADS, NC"
135,0208762750,"UNNAMED TRIB TO SWIFT CR NR YATES MILL POND, NC"
136,0208762755,"UNNM TRIB TO SWIFT CR AT NCSU RSRCH UNIT, RALEIGH"
137,0208773375,"SWIFT CREEK AT SR1555 NEAR CLAYTON, NC"
138,02088000,"MIDDLE CREEK NEAR CLAYTON, NC"
139,02088090,"BLACK CREEK NEAR FOUR OAKS, NC"
140,02088270,"MILL CREEK AT COX MILL, NC"
141,02088383,"LITTLE RIVER NEAR ZEBULON, NC"
142,02088500,"LITTLE RIVER NEAR PRINCETON, NC"
143,0208863200,"LITTLE RIVER AT NC581 NR GOLDSBORO, NC"
144,02089000,"NEUSE RIVER NEAR GOLDSBORO, NC"
145,02089192,"NEUSE R AT WHITEHALL, NC"
146,0208925200,"BEAR CREEK AT MAYS STORE, NC"
147,02089500,"NEUSE RIVER AT KINSTON, NC"
148,02090380,"CONTENTNEA CREEK NEAR LUCAMA, NC"
149,0209050750,"HOMINY SWAMP AT FOREST HILLS ROAD NEAR WILSON, NC"
150,02090960,"NAHUNTA SWAMP NEAR PIKEVILLE, NC"
151,0209096970,"MOCCASIN RUN NEAR PATETOWN, NC"
152,02091000,"NAHUNTA SWAMP NEAR SHINE, NC"
153,02091500,"CONTENTNEA CREEK AT HOOKERTON, NC"
154,0209173150,"UNNAMED TRIB TO SANDY RUN AT SR1335 NR LIZZIE, NC"
155,0209173190,"UNNAMED TRIB TO SANDY RUN NEAR LIZZIE, NC"
156,0209173192,"DRAINAGE DITCH TO TRIB TO SANDY RUN NR LIZZIE, NC"
157,0209173200,"SANDY RUN NEAR LIZZIE, NC"
158,02091736,"MIDDLE SWAMP NEAR FARMVILLE, NC"
159,02091737,"LITTLE CONTENTNEA CREEK NR WILLOW GREEN, NC"
160,02091764,"CONTENTNEA CREEK AT GRIFTON, NC"
161,02091814,"NEUSE RIVER NEAR FORT BARNWELL, NC"
162,0209205053,"SWIFT CREEK AT HWY 43 NR STREETS FERRY, NC"
163,02092162,"NEUSE RIVER AT NEW BERN, NC"
164,02092500,"TRENT RIVER NEAR TRENTON, NC"
165,02092554,"TRENT R AT POLLOCKSVILLE, NC"
166,0209257120,"W. P. BRICE CREEK BELOW SR1101 NEAR RIVERDALE, NC"
167,0209259278,"UPPER BROAD CREEK NR FAIRFIELD HARBOR, NC"
168,0209265600,"NEUSE RIVER AT HAVELOCK, NC"
169,0209265800,"NEUSE RIVER AT MINNESOTT BEACH, NC"
170,0209267800,"BIG CREEK AT SOUTH RIVER, NC"
171,0209280380,INTRACOASTAL WTRWY ONSLOW BEACH RD ONSLOW BEACH NC
172,02093000,"NEW RIVER NEAR GUM BRANCH, NC"
173,0209303205,"NEW RIVER BELOW HWY17 BRIDGE AT JACKSONVILLE, NC"
174,0209319350,"TOWN CREEK NEAR VERONA, NC"
175,02093800,"REEDY FORK NEAR OAK RIDGE, NC"
176,02093877,"BRUSH CREEK AT MUIRFIELD RD AT GREENSBORO, NC"
177,0209387778,"BRUSH CREEK AT FLEMING ROAD AT GREENSBORO, NC"
178,0209399200,"HORSEPEN CREEK AT US 220 NR GREENSBORO, NC"
179,0209437825,"SMITH BRANCH UPPER TRIB NR MONTICELLO, NC"
180,02094412,"REEDY FORK NR BROWNS SUMMIT, NC"
181,02094500,"REEDY FORK NEAR GIBSONVILLE, NC"
182,02094659,"SOUTH BUFFALO CREEK NR POMONA, NC"
183,02094770,"SOUTH BUFFALO CREEK AT US 220 AT GREENSBORO, NC"
184,02094775,"RYAN CREEK BELOW US 220 AT GREENSBORO, NC"
185,02095000,"SOUTH BUFFALO CR NEAR GREENSBORO, NC"
186,02095181,"N BUFFALO CR AT WESTOVER TERRACE AT GREENSBORO, NC"
187,02095271,"NORTH BUFFALO CREEK AT CHURCH ST AT GREENSBORO, NC"
188,02095500,"NORTH BUFFALO CREEK NEAR GREENSBORO, NC"
189,0209553650,"BUFFALO CREEK AT SR2819 NR MCLEANSVILLE, NC"
190,0209555450,"BUFFALO CREEK AT SR2719 NEAR OSCEOLA, NC"
191,0209560800,"REEDY FORK CREEK AT NC 61 NR OSCEOLA, NC"
192,02096500,"HAW RIVER AT HAW RIVER, NC"
193,02096842,"CANE CREEK UPSTREAM SR1126 NR BUCKHORN, NC"
194,02096845,"CANE CREEK NEAR BUCKHORN, NC"
195,02096846,"CANE CREEK NEAR ORANGE GROVE, NC"
196,0209691590,"COLLINS CR AB SR 1006 NR WHITE CROSS, NC"
197,0209691611,"COLLINS CREEK AT HWY 54 NEAR WHITE CROSS, NC"
198,02096960,"HAW RIVER NEAR BYNUM, NC"
199,0209722970,"SANDY CREEK AT CORNWALLIS RD NEAR DURHAM, NC"
200,02097280,"THIRD FORK CR AT WOODCROFT PARKWAY NR BLANDS, NC"
201,02097314,"NEW HOPE CREEK NEAR BLANDS, NC"
202,0209734440,"BOLIN CREEK AT VILLAGE DRIVE AT CHAPEL HILL, NC"
203,02097386,"BOOKER CREEK AT SR 1751 NEAR CHAPEL HILL, NC"
204,0209741387,"NORTHEAST CREEK TRIB AT SR1182 NR LOWES GROVE, NC"
205,0209741955,"NORTHEAST CREEK AT SR1100 NR GENLEE, NC"
206,02097464,"MORGAN CREEK NEAR WHITE CROSS, NC"
207,02097517,"MORGAN CREEK NEAR CHAPEL HILL, NC"
208,0209782150,"NEW HOPE R TRIB AT SR1716 NR FARRINGTON, NC"
209,0209782609,"WHITE OAK CR AT MOUTH NEAR GREEN LEVEL, NC"
210,02098197," B. EVERETT JORDAN LAKE AT DAM NR MONCURE, NC"
211,02098198,"HAW R BELOW B. EVERETT JORDAN DAM NR MONCURE, NC"
212,02098200,"HAW RIVER NEAR HAYWOOD, NC"
213,02098206,"HAW RIVER NEAR MONCURE, NC"
214,0209834300,"WF DEEP RIVER NR FRIENDSHIP, NC"
215,0209849550,"WF DEEP RIVER AT NC 68 NR DEEP RIVER, NC"
216,02099000,"EAST FORK DEEP RIVER NEAR HIGH POINT, NC"
