,site_number,address
379,02146750,"MCALPINE CR BELOW MCMULLEN CR NR PINEVILLE, NC"
380,0214678175,"STEELE CREEK AT SR1441 NR PINEVILLE, NC"
381,0214685800,"SIX MILE CREEK NEAR PINEVILLE, NC"
382,02147126,"WAXHAW CREEK AT SR1103 NEAR JACKSON, NC"
383,02149000,"COVE CREEK NEAR LAKE LURE, NC"
384,02150495,"SECOND BROAD RIVER NR LOGAN, NC"
385,02151500,"BROAD RIVER NEAR BOILING SPRINGS, NC"
386,02152100,"FIRST BROAD RIVER NEAR CASAR, NC"
387,02152285,"FIRST BROAD RIVER AT SR1512 NEAR LAWNDALE, NC"
388,02152474,"FIRST BROAD RIVER AT LAWNDALE, NC"
389,03161000,"SOUTH FORK NEW RIVER NEAR JEFFERSON, NC"
390,03439000,"FRENCH BROAD RIVER AT ROSMAN, NC"
391,03441000,"DAVIDSON RIVER NEAR BREVARD, NC"
392,03443000,"FRENCH BROAD RIVER AT BLANTYRE, NC"
393,03446000,"MILLS RIVER NEAR MILLS RIVER, NC"
394,03447687,"FRENCH BROAD RIVER NEAR FLETCHER, NC"
395,0344878100,"HOMINY CREEK NR WEST ASHEVILLE, NC"
396,0344894205,"NORTH FORK SWANNANOA RIVER NEAR WALKERTOWN, NC"
397,03450000,"BEETREE CREEK NEAR SWANNANOA, NC"
398,03451000,"SWANNANOA RIVER AT BILTMORE, NC"
399,03451500,"FRENCH BROAD RIVER AT ASHEVILLE, NC"
400,03453000,"IVY RIVER NEAR MARSHALL, NC"
401,03453500,"FRENCH BROAD RIVER AT MARSHALL, NC"
402,03454500,"FRENCH BROAD RIVER AT HOT SPRINGS, NC"
403,03455500,"W F PIGEON R ABOVE LAKE LOGAN NR HAZELWOOD, NC"
404,03455773,"LAKE LOGAN AT DAM NEAR HAZELWOOD, NC"
405,0345577330,"WEST FORK PIGEON RIVER NEAR RETREAT, NC"
406,03456100,"WEST FORK PIGEON RIVER AT BETHEL, NC"
407,03456500,"EAST FORK PIGEON RIVER NEAR CANTON, NC"
408,03456991,"PIGEON RIVER NEAR CANTON, NC"
409,03459500,"PIGEON RIVER NEAR HEPCO, NC"
410,03460000,"CATALOOCHEE CREEK NEAR CATALOOCHEE, NC"
411,03460795,"PIGEON R BL POWER PLANT NR WATERVILLE, NC"
412,03463300,"SOUTH TOE RIVER NEAR CELO, NC"
413,03479000,"WATAUGA RIVER NEAR SUGAR GROVE, NC"
414,0347927164,"BUCKEYE CR BELOW BUCKEYE LAKE NEAR CANNON GAP, NC"
415,03500000,"LITTLE TENNESSEE RIVER NEAR PRENTISS, NC"
416,0350011450,"CARTOOGECHAYE CREEK AT SR 1148 NEAR FRANKLIN, NC"
417,03500240,"CARTOOGECHAYE CREEK NEAR FRANKLIN, NC"
418,0350056050,"CULLASAJA RIVER AT SR 1620 NEAR HIGHLANDS, NC"
419,03501500,"LITTLE TENNESSEE R AT FRANKLIN, NC"
420,03503000,"LITTLE TENNESSEE RIVER AT NEEDMORE, NC"
421,03504000,"NANTAHALA RIVER NEAR RAINBOW SPRINGS, NC"
422,03505550,"NANTAHALA RIVER NEAR HEWITT, NC"
423,03508050,"TUCKASEGEE RIVER AT SR 1172 NR CULLOWHEE, NC"
424,03510577,"TUCKASEGEE RIVER AT BARKER'S CREEK, NC"
425,03512000,"OCONALUFTEE RIVER AT BIRDTOWN, NC"
426,03513000,"TUCKASEGEE RIVER AT BRYSON CITY, NC"
427,0351706800,"CHEOAH RIVER NR BEARPEN GAP NR TAPOCO, NC"
428,03548330,"BRASSTOWN CREEK AT BRASSTOWN, NC"
429,03550000,"VALLEY RIVER AT TOMOTLA, NC"
430,344950077495695,"NE CAPE FEAR RIVER AT NC HWY 41 NR CHINQUAPIN, NC"
431,350305079122895,"MOTT LAKE AT PLANK ROAD NEAR FAYETTEVILLE, NC"
432,351139078591495,"LITTLE RIVER AT N BRAGG BLVD AT MANCHESTER, NC"
433,354347078401501,SWINE RUNOFF SITE 2 AT NCSU RES UNIT AT RALEIGH
434,354349078402801,SWINE RUNOFF SITE 1 AT NCSU RES UNIT AT RALEIGH
435,354355078401401,BACKGRD RUNOFF SITE 1 AT NCSU RES UNIT AT RALEIGH
436,363018076295500,"WEYERHAEUSER D 0.7 MI S CNTY LN D NR CORAPEAKE, NC"
437,363251076261200,"CORAPEAKE DITCH NEAR CORAPEAKE, NC"
